2023-06-05 14:04:54 status half-installed libaudit-common:all 1:3.0.7-1build1
2023-06-05 14:04:54 status unpacked libaudit-common:all 1:3.0.7-1build1
2023-06-05 14:04:54 install libaudit1:arm64 <none> 1:3.0.7-1build1
2023-06-05 14:04:54 status half-installed libaudit1:arm64 1:3.0.7-1build1
2023-06-05 14:04:54 status unpacked libaudit1:arm64 1:3.0.7-1build1
2023-06-05 14:04:54 install libblkid1:arm64 <none> 2.37.2-4ubuntu3
2023-06-05 14:04:54 status half-installed libblkid1:arm64 2.37.2-4ubuntu3
2023-06-05 14:04:54 status unpacked libblkid1:arm64 2.37.2-4ubuntu3
2023-06-05 14:04:55 install libbz2-1.0:arm64 <none> 1.0.8-5build1
2023-06-05 14:04:55 status half-installed libbz2-1.0:arm64 1.0.8-5build1
2023-06-05 14:04:55 status unpacked libbz2-1.0:arm64 1.0.8-5build1
2023-06-05 14:04:55 install libc-bin:arm64 <none> 2.35-0ubuntu3
2023-06-05 14:04:55 status half-installed libc-bin:arm64 2.35-0ubuntu3
2023-06-05 14:04:55 status unpacked libc-bin:arm64 2.35-0ubuntu3
2023-06-05 14:04:55 upgrade libc6:arm64 2.35-0ubuntu3 2.35-0ubuntu3
2023-06-05 14:04:55 status half-configured libc6:arm64 2.35-0ubuntu3
2023-06-05 14:04:55 status unpacked libc6:arm64 2.35-0ubuntu3
2023-06-05 14:04:55 status half-installed libc6:arm64 2.35-0ubuntu3
2023-06-05 14:04:55 status unpacked libc6:arm64 2.35-0ubuntu3
2023-06-05 14:04:55 install libcap-ng0:arm64 <none> 0.7.9-2.2build3
2023-06-05 14:04:55 status half-installed libcap-ng0:arm64 0.7.9-2.2build3
2023-06-05 14:04:55 status unpacked libcap-ng0:arm64 0.7.9-2.2build3
2023-06-05 14:04:55 install libcap2:arm64 <none> 1:2.44-1build3
2023-06-05 14:04:55 status half-installed libcap2:arm64 1:2.44-1build3
2023-06-05 14:04:55 status unpacked libcap2:arm64 1:2.44-1build3
2023-06-05 14:04:55 install libcom-err2:arm64 <none> 1.46.5-2ubuntu1
2023-06-05 14:04:55 status half-installed libcom-err2:arm64 1.46.5-2ubuntu1
2023-06-05 14:04:55 status unpacked libcom-err2:arm64 1.46.5-2ubuntu1
2023-06-05 14:04:55 install libcrypt1:arm64 <none> 1:4.4.27-1
2023-06-05 14:04:55 status half-installed libcrypt1:arm64 1:4.4.27-1
2023-06-05 14:04:55 status unpacked libcrypt1:arm64 1:4.4.27-1
2023-06-05 14:04:55 install libdb5.3:arm64 <none> 5.3.28+dfsg1-0.8ubuntu3
2023-06-05 14:04:55 status half-installed libdb5.3:arm64 5.3.28+dfsg1-0.8ubuntu3
2023-06-05 14:04:55 status unpacked libdb5.3:arm64 5.3.28+dfsg1-0.8ubuntu3
2023-06-05 14:04:55 install libdebconfclient0:arm64 <none> 0.261ubuntu1
2023-06-05 14:04:55 status half-installed libdebconfclient0:arm64 0.261ubuntu1
2023-06-05 14:04:55 status unpacked libdebconfclient0:arm64 0.261ubuntu1
2023-06-05 14:04:55 install libext2fs2:arm64 <none> 1.46.5-2ubuntu1
2023-06-05 14:04:55 status half-installed libext2fs2:arm64 1.46.5-2ubuntu1
2023-06-05 14:04:55 status unpacked libext2fs2:arm64 1.46.5-2ubuntu1
2023-06-05 14:04:55 install libgcc-s1:arm64 <none> 12-20220319-1ubuntu1
2023-06-05 14:04:55 status half-installed libgcc-s1:arm64 12-20220319-1ubuntu1
2023-06-05 14:04:55 status unpacked libgcc-s1:arm64 12-20220319-1ubuntu1
2023-06-05 14:04:55 install libgcrypt20:arm64 <none> 1.9.4-3ubuntu3
2023-06-05 14:04:55 status half-installed libgcrypt20:arm64 1.9.4-3ubuntu3
2023-06-05 14:04:55 status unpacked libgcrypt20:arm64 1.9.4-3ubuntu3
2023-06-05 14:04:55 install libgmp10:arm64 <none> 2:6.2.1+dfsg-3ubuntu1
2023-06-05 14:04:55 status half-installed libgmp10:arm64 2:6.2.1+dfsg-3ubuntu1
2023-06-05 14:04:55 status unpacked libgmp10:arm64 2:6.2.1+dfsg-3ubuntu1
2023-06-05 14:04:55 install libgpg-error0:arm64 <none> 1.43-3
2023-06-05 14:04:55 status half-installed libgpg-error0:arm64 1.43-3
2023-06-05 14:04:55 status unpacked libgpg-error0:arm64 1.43-3
2023-06-05 14:04:55 install libgssapi-krb5-2:arm64 <none> 1.19.2-2
2023-06-05 14:04:55 status half-installed libgssapi-krb5-2:arm64 1.19.2-2
2023-06-05 14:04:55 status unpacked libgssapi-krb5-2:arm64 1.19.2-2
2023-06-05 14:04:55 install libk5crypto3:arm64 <none> 1.19.2-2
2023-06-05 14:04:55 status half-installed libk5crypto3:arm64 1.19.2-2
2023-06-05 14:04:55 status unpacked libk5crypto3:arm64 1.19.2-2
2023-06-05 14:04:55 install libkeyutils1:arm64 <none> 1.6.1-2ubuntu3
2023-06-05 14:04:55 status half-installed libkeyutils1:arm64 1.6.1-2ubuntu3
2023-06-05 14:04:55 status unpacked libkeyutils1:arm64 1.6.1-2ubuntu3
2023-06-05 14:04:55 install libkrb5-3:arm64 <none> 1.19.2-2
2023-06-05 14:04:55 status half-installed libkrb5-3:arm64 1.19.2-2
2023-06-05 14:04:55 status unpacked libkrb5-3:arm64 1.19.2-2
2023-06-05 14:04:55 install libkrb5support0:arm64 <none> 1.19.2-2
2023-06-05 14:04:55 status half-installed libkrb5support0:arm64 1.19.2-2
2023-06-05 14:04:55 status unpacked libkrb5support0:arm64 1.19.2-2
2023-06-05 14:04:55 install liblz4-1:arm64 <none> 1.9.3-2build2
2023-06-05 14:04:55 status half-installed liblz4-1:arm64 1.9.3-2build2
2023-06-05 14:04:55 status unpacked liblz4-1:arm64 1.9.3-2build2
2023-06-05 14:04:55 install liblzma5:arm64 <none> 5.2.5-2ubuntu1
2023-06-05 14:04:55 status half-installed liblzma5:arm64 5.2.5-2ubuntu1
2023-06-05 14:04:55 status unpacked liblzma5:arm64 5.2.5-2ubuntu1
2023-06-05 14:04:55 install libmount1:arm64 <none> 2.37.2-4ubuntu3
2023-06-05 14:04:55 status half-installed libmount1:arm64 2.37.2-4ubuntu3
2023-06-05 14:04:55 status unpacked libmount1:arm64 2.37.2-4ubuntu3
2023-06-05 14:04:55 install libncurses6:arm64 <none> 6.3-2
2023-06-05 14:04:55 status half-installed libncurses6:arm64 6.3-2
2023-06-05 14:04:55 status unpacked libncurses6:arm64 6.3-2
2023-06-05 14:04:55 install libncursesw6:arm64 <none> 6.3-2
2023-06-05 14:04:55 status half-installed libncursesw6:arm64 6.3-2
2023-06-05 14:04:55 status unpacked libncursesw6:arm64 6.3-2
2023-06-05 14:04:55 install libnsl2:arm64 <none> 1.3.0-2build2
2023-06-05 14:04:55 status half-installed libnsl2:arm64 1.3.0-2build2
2023-06-05 14:04:55 status unpacked libnsl2:arm64 1.3.0-2build2
2023-06-05 14:04:55 install libpam-modules:arm64 <none> 1.4.0-11ubuntu2
2023-06-05 14:04:55 status half-installed libpam-modules:arm64 1.4.0-11ubuntu2
2023-06-05 14:04:56 status unpacked libpam-modules:arm64 1.4.0-11ubuntu2
2023-06-05 14:04:56 install libpam-modules-bin:arm64 <none> 1.4.0-11ubuntu2
2023-06-05 14:04:56 status half-installed libpam-modules-bin:arm64 1.4.0-11ubuntu2
2023-06-05 14:04:56 status unpacked libpam-modules-bin:arm64 1.4.0-11ubuntu2
2023-06-05 14:04:56 install libpam-runtime:all <none> 1.4.0-11ubuntu2
2023-06-05 14:04:56 status half-installed libpam-runtime:all 1.4.0-11ubuntu2
2023-06-05 14:04:56 status unpacked libpam-runtime:all 1.4.0-11ubuntu2
2023-06-05 14:04:56 install libpam0g:arm64 <none> 1.4.0-11ubuntu2
2023-06-05 14:04:56 status half-installed libpam0g:arm64 1.4.0-11ubuntu2
2023-06-05 14:04:56 status unpacked libpam0g:arm64 1.4.0-11ubuntu2
2023-06-05 14:04:56 install libpcre2-8-0:arm64 <none> 10.39-3build1
2023-06-05 14:04:56 status half-installed libpcre2-8-0:arm64 10.39-3build1
2023-06-05 14:04:56 status unpacked libpcre2-8-0:arm64 10.39-3build1
2023-06-05 14:04:56 install libpcre3:arm64 <none> 2:8.39-13build5
2023-06-05 14:04:56 status half-installed libpcre3:arm64 2:8.39-13build5
2023-06-05 14:04:56 status unpacked libpcre3:arm64 2:8.39-13build5
2023-06-05 14:04:56 install libprocps8:arm64 <none> 2:3.3.17-6ubuntu2
2023-06-05 14:04:56 status half-installed libprocps8:arm64 2:3.3.17-6ubuntu2
2023-06-05 14:04:56 status unpacked libprocps8:arm64 2:3.3.17-6ubuntu2
2023-06-05 14:04:56 install libselinux1:arm64 <none> 3.3-1build2
2023-06-05 14:04:56 status half-installed libselinux1:arm64 3.3-1build2
2023-06-05 14:04:56 status unpacked libselinux1:arm64 3.3-1build2
2023-06-05 14:04:56 install libsemanage-common:all <none> 3.3-1build2
2023-06-05 14:04:56 status half-installed libsemanage-common:all 3.3-1build2
2023-06-05 14:04:56 status unpacked libsemanage-common:all 3.3-1build2
2023-06-05 14:04:56 install libsemanage2:arm64 <none> 3.3-1build2
2023-06-05 14:04:56 status half-installed libsemanage2:arm64 3.3-1build2
2023-06-05 14:04:56 status unpacked libsemanage2:arm64 3.3-1build2
2023-06-05 14:04:56 install libsepol2:arm64 <none> 3.3-1build1
2023-06-05 14:04:56 status half-installed libsepol2:arm64 3.3-1build1
2023-06-05 14:04:56 status unpacked libsepol2:arm64 3.3-1build1
2023-06-05 14:04:56 install libsmartcols1:arm64 <none> 2.37.2-4ubuntu3
2023-06-05 14:04:56 status half-installed libsmartcols1:arm64 2.37.2-4ubuntu3
2023-06-05 14:04:56 status unpacked libsmartcols1:arm64 2.37.2-4ubuntu3
2023-06-05 14:04:56 install libss2:arm64 <none> 1.46.5-2ubuntu1
2023-06-05 14:04:56 status half-installed libss2:arm64 1.46.5-2ubuntu1
2023-06-05 14:04:56 status unpacked libss2:arm64 1.46.5-2ubuntu1
2023-06-05 14:04:56 install libssl3:arm64 <none> 3.0.2-0ubuntu1
2023-06-05 14:04:56 status half-installed libssl3:arm64 3.0.2-0ubuntu1
2023-06-05 14:04:56 status unpacked libssl3:arm64 3.0.2-0ubuntu1
2023-06-05 14:04:56 install libsystemd0:arm64 <none> 249.11-0ubuntu3
2023-06-05 14:04:56 status half-installed libsystemd0:arm64 249.11-0ubuntu3
2023-06-05 14:04:56 status unpacked libsystemd0:arm64 249.11-0ubuntu3
2023-06-05 14:04:56 install libtinfo6:arm64 <none> 6.3-2
2023-06-05 14:04:56 status half-installed libtinfo6:arm64 6.3-2
2023-06-05 14:04:56 status unpacked libtinfo6:arm64 6.3-2
2023-06-05 14:04:56 install libtirpc-common:all <none> 1.3.2-2build1
2023-06-05 14:04:56 status half-installed libtirpc-common:all 1.3.2-2build1
2023-06-05 14:04:56 status unpacked libtirpc-common:all 1.3.2-2build1
2023-06-05 14:04:56 install libtirpc3:arm64 <none> 1.3.2-2build1
2023-06-05 14:04:56 status half-installed libtirpc3:arm64 1.3.2-2build1
2023-06-05 14:04:56 status unpacked libtirpc3:arm64 1.3.2-2build1
2023-06-05 14:04:56 install libudev1:arm64 <none> 249.11-0ubuntu3
2023-06-05 14:04:56 status half-installed libudev1:arm64 249.11-0ubuntu3
2023-06-05 14:04:56 status unpacked libudev1:arm64 249.11-0ubuntu3
2023-06-05 14:04:56 install libuuid1:arm64 <none> 2.37.2-4ubuntu3
2023-06-05 14:04:56 status half-installed libuuid1:arm64 2.37.2-4ubuntu3
2023-06-05 14:04:56 status unpacked libuuid1:arm64 2.37.2-4ubuntu3
2023-06-05 14:04:56 install libzstd1:arm64 <none> 1.4.8+dfsg-3build1
2023-06-05 14:04:56 status half-installed libzstd1:arm64 1.4.8+dfsg-3build1
2023-06-05 14:04:56 status unpacked libzstd1:arm64 1.4.8+dfsg-3build1
2023-06-05 14:04:56 install login:arm64 <none> 1:4.8.1-2ubuntu2
2023-06-05 14:04:56 status half-installed login:arm64 1:4.8.1-2ubuntu2
2023-06-05 14:04:56 status unpacked login:arm64 1:4.8.1-2ubuntu2
2023-06-05 14:04:56 install logsave:arm64 <none> 1.46.5-2ubuntu1
2023-06-05 14:04:56 status half-installed logsave:arm64 1.46.5-2ubuntu1
2023-06-05 14:04:56 status unpacked logsave:arm64 1.46.5-2ubuntu1
2023-06-05 14:04:56 install lsb-base:all <none> 11.1.0ubuntu4
2023-06-05 14:04:56 status half-installed lsb-base:all 11.1.0ubuntu4
2023-06-05 14:04:56 status unpacked lsb-base:all 11.1.0ubuntu4
2023-06-05 14:04:56 upgrade mawk:arm64 1.3.4.20200120-3 1.3.4.20200120-3
2023-06-05 14:04:56 status half-configured mawk:arm64 1.3.4.20200120-3
2023-06-05 14:04:56 status unpacked mawk:arm64 1.3.4.20200120-3
2023-06-05 14:04:56 status half-installed mawk:arm64 1.3.4.20200120-3
2023-06-05 14:04:56 status unpacked mawk:arm64 1.3.4.20200120-3
2023-06-05 14:04:56 install mount:arm64 <none> 2.37.2-4ubuntu3
2023-06-05 14:04:56 status half-installed mount:arm64 2.37.2-4ubuntu3
2023-06-05 14:04:56 status unpacked mount:arm64 2.37.2-4ubuntu3
2023-06-05 14:04:56 install ncurses-base:all <none> 6.3-2
2023-06-05 14:04:56 status half-installed ncurses-base:all 6.3-2
2023-06-05 14:04:56 status unpacked ncurses-base:all 6.3-2
2023-06-05 14:04:56 install ncurses-bin:arm64 <none> 6.3-2
2023-06-05 14:04:56 status half-installed ncurses-bin:arm64 6.3-2
2023-06-05 14:04:56 status unpacked ncurses-bin:arm64 6.3-2
2023-06-05 14:04:56 install passwd:arm64 <none> 1:4.8.1-2ubuntu2
2023-06-05 14:04:56 status half-installed passwd:arm64 1:4.8.1-2ubuntu2
2023-06-05 14:04:57 status unpacked passwd:arm64 1:4.8.1-2ubuntu2
2023-06-05 14:04:57 upgrade perl-base:arm64 5.34.0-3ubuntu1 5.34.0-3ubuntu1
2023-06-05 14:04:57 status half-configured perl-base:arm64 5.34.0-3ubuntu1
2023-06-05 14:04:57 status unpacked perl-base:arm64 5.34.0-3ubuntu1
2023-06-05 14:04:57 status half-installed perl-base:arm64 5.34.0-3ubuntu1
2023-06-05 14:04:57 status unpacked perl-base:arm64 5.34.0-3ubuntu1
2023-06-05 14:04:57 install procps:arm64 <none> 2:3.3.17-6ubuntu2
2023-06-05 14:04:57 status half-installed procps:arm64 2:3.3.17-6ubuntu2
2023-06-05 14:04:57 status unpacked procps:arm64 2:3.3.17-6ubuntu2
2023-06-05 14:04:57 install sed:arm64 <none> 4.8-1ubuntu2
2023-06-05 14:04:57 status half-installed sed:arm64 4.8-1ubuntu2
2023-06-05 14:04:57 status unpacked sed:arm64 4.8-1ubuntu2
2023-06-05 14:04:57 install sensible-utils:all <none> 0.0.17
2023-06-05 14:04:57 status half-installed sensible-utils:all 0.0.17
2023-06-05 14:04:57 status unpacked sensible-utils:all 0.0.17
2023-06-05 14:04:57 install sysvinit-utils:arm64 <none> 3.01-1ubuntu1
2023-06-05 14:04:57 status half-installed sysvinit-utils:arm64 3.01-1ubuntu1
2023-06-05 14:04:57 status unpacked sysvinit-utils:arm64 3.01-1ubuntu1
2023-06-05 14:04:57 install tar:arm64 <none> 1.34+dfsg-1build3
2023-06-05 14:04:57 status half-installed tar:arm64 1.34+dfsg-1build3
2023-06-05 14:04:57 status unpacked tar:arm64 1.34+dfsg-1build3
2023-06-05 14:04:57 install usrmerge:all <none> 25ubuntu2
2023-06-05 14:04:57 status half-installed usrmerge:all 25ubuntu2
2023-06-05 14:04:57 status unpacked usrmerge:all 25ubuntu2
2023-06-05 14:04:57 install util-linux:arm64 <none> 2.37.2-4ubuntu3
2023-06-05 14:04:57 status half-installed util-linux:arm64 2.37.2-4ubuntu3
2023-06-05 14:04:57 status unpacked util-linux:arm64 2.37.2-4ubuntu3
2023-06-05 14:04:57 install zlib1g:arm64 <none> 1:1.2.11.dfsg-2ubuntu9
2023-06-05 14:04:57 status half-installed zlib1g:arm64 1:1.2.11.dfsg-2ubuntu9
2023-06-05 14:04:57 status unpacked zlib1g:arm64 1:1.2.11.dfsg-2ubuntu9
2023-06-05 14:04:57 startup packages configure
2023-06-05 14:04:57 configure lsb-base:all 11.1.0ubuntu4 <none>
2023-06-05 14:04:57 status unpacked lsb-base:all 11.1.0ubuntu4
2023-06-05 14:04:57 status half-configured lsb-base:all 11.1.0ubuntu4
2023-06-05 14:04:57 status installed lsb-base:all 11.1.0ubuntu4
2023-06-05 14:04:57 configure libtirpc-common:all 1.3.2-2build1 <none>
2023-06-05 14:04:57 status unpacked libtirpc-common:all 1.3.2-2build1
2023-06-05 14:04:57 status half-configured libtirpc-common:all 1.3.2-2build1
2023-06-05 14:04:57 status installed libtirpc-common:all 1.3.2-2build1
2023-06-05 14:04:57 configure libaudit-common:all 1:3.0.7-1build1 <none>
2023-06-05 14:04:57 status unpacked libaudit-common:all 1:3.0.7-1build1
2023-06-05 14:04:57 status half-configured libaudit-common:all 1:3.0.7-1build1
2023-06-05 14:04:57 status installed libaudit-common:all 1:3.0.7-1build1
2023-06-05 14:04:57 configure libsemanage-common:all 3.3-1build2 <none>
2023-06-05 14:04:57 status unpacked libsemanage-common:all 3.3-1build2
2023-06-05 14:04:57 status half-configured libsemanage-common:all 3.3-1build2
2023-06-05 14:04:57 status installed libsemanage-common:all 3.3-1build2
2023-06-05 14:04:57 configure gcc-12-base:arm64 12-20220319-1ubuntu1 <none>
2023-06-05 14:04:57 status unpacked gcc-12-base:arm64 12-20220319-1ubuntu1
2023-06-05 14:04:57 status half-configured gcc-12-base:arm64 12-20220319-1ubuntu1
2023-06-05 14:04:57 status installed gcc-12-base:arm64 12-20220319-1ubuntu1
2023-06-05 14:04:57 configure ncurses-base:all 6.3-2 <none>
2023-06-05 14:04:57 status unpacked ncurses-base:all 6.3-2
2023-06-05 14:04:57 status half-configured ncurses-base:all 6.3-2
2023-06-05 14:04:57 status installed ncurses-base:all 6.3-2
2023-06-05 14:04:57 configure sensible-utils:all 0.0.17 <none>
2023-06-05 14:04:57 status unpacked sensible-utils:all 0.0.17
2023-06-05 14:04:57 status half-configured sensible-utils:all 0.0.17
2023-06-05 14:04:57 status installed sensible-utils:all 0.0.17
2023-06-05 14:04:57 configure libcrypt1:arm64 1:4.4.27-1 <none>
2023-06-05 14:04:57 status unpacked libcrypt1:arm64 1:4.4.27-1
2023-06-05 14:04:57 status half-configured libcrypt1:arm64 1:4.4.27-1
2023-06-05 14:04:57 status installed libcrypt1:arm64 1:4.4.27-1
2023-06-05 14:04:57 configure libgcc-s1:arm64 12-20220319-1ubuntu1 <none>
2023-06-05 14:04:57 status unpacked libgcc-s1:arm64 12-20220319-1ubuntu1
2023-06-05 14:04:57 status half-configured libgcc-s1:arm64 12-20220319-1ubuntu1
2023-06-05 14:04:57 status installed libgcc-s1:arm64 12-20220319-1ubuntu1
2023-06-05 14:04:57 configure libc6:arm64 2.35-0ubuntu3 <none>
2023-06-05 14:04:57 status unpacked libc6:arm64 2.35-0ubuntu3
2023-06-05 14:04:57 status half-configured libc6:arm64 2.35-0ubuntu3
2023-06-05 14:04:57 status installed libc6:arm64 2.35-0ubuntu3
2023-06-05 14:04:57 configure libudev1:arm64 249.11-0ubuntu3 <none>
2023-06-05 14:04:57 status unpacked libudev1:arm64 249.11-0ubuntu3
2023-06-05 14:04:57 status half-configured libudev1:arm64 249.11-0ubuntu3
2023-06-05 14:04:57 status installed libudev1:arm64 249.11-0ubuntu3
2023-06-05 14:04:57 configure libattr1:arm64 1:2.5.1-1build1 <none>
